"gene_compare","uchar","gene","compare"
"ENSG00000005882 HCC1395/HCC1395BL",2.4484281403073,"ENSG00000005882","HCC1395/HCC1395BL"
"ENSG00000005884 HCC1395/HCC1395BL",0.946345797293104,"ENSG00000005884","HCC1395/HCC1395BL"
"ENSG00000005889 HCC1395/HCC1395BL",1.24673569049672,"ENSG00000005889","HCC1395/HCC1395BL"
"ENSG00000005893 HCC1395/HCC1395BL",1.77031681682496,"ENSG00000005893","HCC1395/HCC1395BL"
"ENSG00000006007 HCC1395/HCC1395BL",0.992905979899033,"ENSG00000006007","HCC1395/HCC1395BL"
"ENSG00000006015 HCC1395/HCC1395BL",2.01089693106626,"ENSG00000006015","HCC1395/HCC1395BL"
"ENSG00000006025 HCC1395/HCC1395BL",0.880924409568139,"ENSG00000006025","HCC1395/HCC1395BL"
"ENSG00000006047 HCC1395/HCC1395BL",7.16213976128745,"ENSG00000006047","HCC1395/HCC1395BL"
"ENSG00000006062 HCC1395/HCC1395BL",1.15783849093709,"ENSG00000006062","HCC1395/HCC1395BL"
"ENSG00000006118 HCC1395/HCC1395BL",3.02414159454641,"ENSG00000006118","HCC1395/HCC1395BL"
"ENSG00000006125 HCC1395/HCC1395BL",0.768074692269437,"ENSG00000006125","HCC1395/HCC1395BL"
"ENSG00000006194 HCC1395/HCC1395BL",1.21842288860359,"ENSG00000006194","HCC1395/HCC1395BL"
"ENSG00000006210 HCC1395/HCC1395BL",6.64207943988576,"ENSG00000006210","HCC1395/HCC1395BL"
"ENSG00000006282 HCC1395/HCC1395BL",0.539822114425843,"ENSG00000006282","HCC1395/HCC1395BL"
"ENSG00000006283 HCC1395/HCC1395BL",5.11380168112478,"ENSG00000006283","HCC1395/HCC1395BL"
"ENSG00000006327 HCC1395/HCC1395BL",3.01766456876294,"ENSG00000006327","HCC1395/HCC1395BL"
"ENSG00000006432 HCC1395/HCC1395BL",0.933496173131493,"ENSG00000006432","HCC1395/HCC1395BL"
"ENSG00000006451 HCC1395/HCC1395BL",0.610452395828921,"ENSG00000006451","HCC1395/HCC1395BL"
"ENSG00000006453 HCC1395/HCC1395BL",1.10112019725329,"ENSG00000006453","HCC1395/HCC1395BL"
"ENSG00000006459 HCC1395/HCC1395BL",1.72549152443896,"ENSG00000006459","HCC1395/HCC1395BL"
"ENSG00000006468 HCC1395/HCC1395BL",2.15071948099342,"ENSG00000006468","HCC1395/HCC1395BL"
