"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000010165 HCC1395/HCC1395BL",1.76655040312138,0,8,"non-DEG",100
"ENSG00000010219 HCC1395/HCC1395BL",0.435322493451054,1.85422821542278e-309,7.66666666666667,"down-regulate",95.8333333333333
"ENSG00000010244 HCC1395/HCC1395BL",0.534981973796146,0,8,"non-DEG",100
"ENSG00000010256 HCC1395/HCC1395BL",1.3497091587573,0,8,"non-DEG",100
"ENSG00000010270 HCC1395/HCC1395BL",0.592562719662751,0,8,"non-DEG",100
"ENSG00000010278 HCC1395/HCC1395BL",4.4134491042238,0,8,"up-regulate",100
"ENSG00000010292 HCC1395/HCC1395BL",0.89536034493174,3.64453449619245e-275,8,"non-DEG",100
"ENSG00000010295 HCC1395/HCC1395BL",0.0753896525483986,0,8,"down-regulate",100
"ENSG00000010310 HCC1395/HCC1395BL",0.0977753729989009,0,8,"down-regulate",100
"ENSG00000010318 HCC1395/HCC1395BL",1.38258361067151,5.14660794723104e-271,8,"non-DEG",100
"ENSG00000010361 HCC1395/HCC1395BL",0.174150135834137,0,8,"down-regulate",100
"ENSG00000010404 HCC1395/HCC1395BL",0.889809776113663,6.227657356446e-30,8,"non-DEG",100
"ENSG00000010539 HCC1395/HCC1395BL",1.23196096896094,5.4523067237934e-192,8,"non-DEG",100
"ENSG00000010626 HCC1395/HCC1395BL",1.44480452463706,7.3648182220245e-95,8,"non-DEG",100
"ENSG00000010704 HCC1395/HCC1395BL",8.72467291644266,0,8,"up-regulate",100
"ENSG00000010803 HCC1395/HCC1395BL",1.15394883563821,2.5432031790058e-103,8,"non-DEG",100
"ENSG00000010810 HCC1395/HCC1395BL",2.55565023427537,0,8,"up-regulate",100
"ENSG00000011007 HCC1395/HCC1395BL",1.5935855625648,0,8,"non-DEG",100
"ENSG00000011009 HCC1395/HCC1395BL",0.607122039150828,0,8,"non-DEG",100
"ENSG00000011021 HCC1395/HCC1395BL",0.962733485828203,2.77195000485037e-18,8,"non-DEG",100
"ENSG00000011028 HCC1395/HCC1395BL",57.5506821072678,0,8,"up-regulate",100
"ENSG00000011105 HCC1395/HCC1395BL",44.2303091636393,0,8,"up-regulate",100
"ENSG00000011114 HCC1395/HCC1395BL",3.58784662165009,0,8,"up-regulate",100
"ENSG00000011132 HCC1395/HCC1395BL",0.344501675277164,0,8,"down-regulate",100
"ENSG00000011143 HCC1395/HCC1395BL",0.750778797408022,8.73000133608629e-177,8,"non-DEG",100
"ENSG00000011198 HCC1395/HCC1395BL",1.08201933548843,1.15396261718087e-68,8,"non-DEG",100
