Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MGI_PolyA_HCC1395BL_0313_2_R2	MGI_PolyA_HCC1395BL_0313_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39975589.0	5.9 Gbp	0.0	31-150	47.0	56.04897895965376	149.9258409675965	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395BL_0313_3_R1	MGI_PolyA_HCC1395BL_0313_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37713712.0	5.6 Gbp	0.0	31-150	47.0	54.28571289334976	149.92651176845175	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395BL_0313_3_R2	MGI_PolyA_HCC1395BL_0313_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37713712.0	5.6 Gbp	0.0	31-150	47.0	56.4368399232577	149.92651176845175	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395BL_1_1_R1	MGI_PolyA_HCC1395BL_1_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38509110.0	5.7 Gbp	0.0	31-150	47.0	49.28165761800192	149.92542032261977	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_1_R2	MGI_PolyA_HCC1395BL_1_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38509110.0	5.7 Gbp	0.0	31-150	47.0	48.99404373402178	149.92542032261977	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_2_R1	MGI_PolyA_HCC1395BL_1_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38021992.0	5.7 Gbp	0.0	31-150	47.0	49.71240350245895	149.92695585228674	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_2_R2	MGI_PolyA_HCC1395BL_1_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38021992.0	5.7 Gbp	0.0	31-150	47.0	49.21687355852548	149.92695585228674	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_3_R1	MGI_PolyA_HCC1395BL_1_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39104784.0	5.8 Gbp	0.0	31-150	47.0	49.126401261252624	149.92849690718148	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_3_R2	MGI_PolyA_HCC1395BL_1_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39104784.0	5.8 Gbp	0.0	31-150	47.0	48.50303193490083	149.92849690718148	150	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_1_R1	MGI_PolyA_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22659298.0	3.3 Gbp	0.0	31-150	45.0	54.10593966487068	149.9322129043892	150	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass
