Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MGI_RiboZero_HCC1395BL_3_R1	38.31999827323836	47.0	149.89471358698393	150	10.0	37931656.0
MGI_RiboZero_HCC1395BL_3_R2	42.080323975785184	48.0	149.89471358698393	150	0.0	37931656.0
MGI_RiboZero_HCC1395_1_R1	43.28571856033436	48.0	149.88554489210276	150	10.0	38145139.0
MGI_RiboZero_HCC1395_1_R2	47.25591893854806	49.0	149.88554489210276	150	0.0	38145139.0
MGI_RiboZero_HCC1395_2_R1	41.82147545829109	48.0	149.89065889493088	150	10.0	37957372.0
MGI_RiboZero_HCC1395_2_R2	47.15191491306513	49.0	149.89065889493088	150	0.0	37957372.0
MGI_RiboZero_HCC1395_3_R1	41.288950686040394	48.0	149.8910598283063	150	10.0	38292844.0
MGI_RiboZero_HCC1395_3_R2	46.19978836546422	49.0	149.8910598283063	150	0.0	38292844.0
NVG_PolyA_HCC1395BL_1_R1	56.90141944289102	49.0	149.063857152703	150	18.181818181818183	35286744.0
NVG_PolyA_HCC1395BL_1_R2	56.53711827312172	49.0	149.06742157904964	150	18.181818181818183	35286744.0
NVG_PolyA_HCC1395BL_2_R1	55.47211375395262	49.0	149.01644140176143	150	18.181818181818183	33261580.0
NVG_PolyA_HCC1395BL_2_R2	54.94430523506832	49.0	149.02023785400453	150	18.181818181818183	33261580.0
NVG_PolyA_HCC1395BL_3_R1	58.55319613294961	49.0	148.95237465646753	150	18.181818181818183	36652649.0
NVG_PolyA_HCC1395BL_3_R2	57.81401639560791	49.0	148.95606901427507	150	18.181818181818183	36652649.0
NVG_PolyA_HCC1395_1_R1	57.54985137887074	50.0	149.18118376620578	150	18.181818181818183	35322414.0
NVG_PolyA_HCC1395_1_R2	56.13339951271368	50.0	149.18352686767105	150	18.181818181818183	35322414.0
NVG_PolyA_HCC1395_2_R1	57.08739149565385	50.0	149.2361538248696	150	18.181818181818183	33863991.0
NVG_PolyA_HCC1395_2_R2	55.79681435356662	50.0	149.23899436424963	150	18.181818181818183	33863991.0
NVG_PolyA_HCC1395_3_R1	56.002610865260536	50.0	148.77688613953146	150	18.181818181818183	33714221.0
NVG_PolyA_HCC1395_3_R2	55.45624835606972	50.0	148.78010347621557	150	18.181818181818183	33714221.0
SEQ_PolyA_HCC1395BL_1_R1	64.77123523812836	47.0	140.7923107400999	150	18.181818181818183	48022151.0
SEQ_PolyA_HCC1395BL_1_R2	58.51621285088899	47.0	140.7923107400999	150	9.090909090909092	48022151.0
SEQ_PolyA_HCC1395BL_2_R1	64.41551621880663	47.0	142.0223095623716	150	18.181818181818183	45438184.0
SEQ_PolyA_HCC1395BL_2_R2	58.20504202052736	46.0	142.0223095623716	150	9.090909090909092	45438184.0
SEQ_PolyA_HCC1395BL_3_R1	67.30925547876424	46.0	143.75763083100054	150	18.181818181818183	58597255.0
SEQ_PolyA_HCC1395BL_3_R2	60.98127286481131	46.0	143.75763083100054	150	9.090909090909092	58597255.0
SEQ_PolyA_HCC1395BL_4_R1	65.0952818098331	46.0	142.70130364964783	150	18.181818181818183	52521780.0
SEQ_PolyA_HCC1395BL_4_R2	60.16055033894726	46.0	142.70130364964783	150	9.090909090909092	52521780.0
SEQ_PolyA_HCC1395BL_5_R1	65.16740369196708	46.0	142.75302122965508	150	18.181818181818183	51886241.0
SEQ_PolyA_HCC1395BL_5_R2	59.84210488390733	46.0	142.75302122965508	150	9.090909090909092	51886241.0
SEQ_PolyA_HCC1395BL_6_R1	64.18154082762138	46.0	143.74292876233264	150	18.181818181818183	49736272.0
SEQ_PolyA_HCC1395BL_6_R2	59.401390650805794	46.0	143.74292876233264	150	9.090909090909092	49736272.0
SEQ_PolyA_HCC1395_1_R1	64.3946812387323	47.0	143.36324532726607	150	18.181818181818183	45910168.0
SEQ_PolyA_HCC1395_1_R2	59.93545580106697	47.0	143.36324532726607	150	9.090909090909092	45910168.0
SEQ_PolyA_HCC1395_2_R1	62.79821992198607	47.0	144.68004759935553	150	18.181818181818183	39708941.0
SEQ_PolyA_HCC1395_2_R2	58.16589563688613	47.0	144.68004759935553	150	9.090909090909092	39708941.0
SEQ_PolyA_HCC1395_3_R1	64.37642283894381	47.0	143.0716254242552	150	18.181818181818183	44027453.0
SEQ_PolyA_HCC1395_3_R2	59.31879892669762	47.0	143.0716254242552	150	9.090909090909092	44027453.0
SEQ_PolyA_HCC1395_4_R1	66.62627785307744	47.0	143.52107017921136	150	18.181818181818183	49184323.0
SEQ_PolyA_HCC1395_4_R2	62.011216829011694	47.0	143.52107017921136	150	9.090909090909092	49184323.0
SEQ_PolyA_HCC1395_5_R1	66.17760993712528	47.0	143.04789327928725	150	18.181818181818183	50927396.0
SEQ_PolyA_HCC1395_5_R2	61.78814121207341	47.0	143.04789327928725	150	9.090909090909092	50927396.0
SEQ_PolyA_HCC1395_6_R1	65.7811376829026	47.0	144.07513744094933	150	18.181818181818183	50512966.0
SEQ_PolyA_HCC1395_6_R2	61.700748058255	47.0	144.07513744094933	150	9.090909090909092	50512966.0
SEQ_RiboZero_HCC1395BL_1_R1	44.7669305907472	44.0	139.63069457583364	147	9.090909090909092	62565393.0
SEQ_RiboZero_HCC1395BL_1_R2	34.1684305624843	44.0	139.63069457583364	147	18.181818181818183	62565393.0
SEQ_RiboZero_HCC1395BL_2_R1	47.121968001852466	44.0	138.21264451344203	147	18.181818181818183	71398635.0
