Sample	total_alignments	reads_aligned_exonic	reads_aligned	non_unique_alignments	reads_aligned_overlapping_exon	bam_file	ambiguous_alignments	reads_aligned_intergenic	reads_aligned_intronic	not_aligned	5_3_bias	reads_aligned_genes
MGI_PolyA_HCC1395_2_3	73587882.0	56489852.0	35491107.0	4023078.0	4172755.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_3.Aligned.sortedByCoord.out.bam	2659258.0	1190700.0	9216654.0	7577190.0	1.17	56489852.0
MGI_PolyA_HCC1395_3	42089588.0	32925564.0	20341392.0	2188716.0	2008972.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	1564134.0	679420.0	4726706.0	4439750.0	1.28	32925564.0
MGI_PolyA_HCC1395_3_1	71359480.0	54833462.0	34409833.0	3908078.0	4060387.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_1.Aligned.sortedByCoord.out.bam	2601506.0	1122664.0	8885532.0	6883170.0	1.17	54833462.0
MGI_PolyA_HCC1395_3_2	62025502.0	47727580.0	29913295.0	3382654.0	3542460.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_2.Aligned.sortedByCoord.out.bam	2185126.0	966364.0	7756652.0	5938148.0	1.16	47727580.0
MGI_PolyA_HCC1395_3_3	73789588.0	56605980.0	35533631.0	4162014.0	4143230.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_3.Aligned.sortedByCoord.out.bam	2623182.0	1214514.0	9175650.0	7211158.0	1.17	56605980.0
MGI_RiboZero_HCC1395BL_1	61956276.0	26642294.0	29200348.0	5506146.0	2477475.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	1875886.0	2206530.0	25695920.0	17887298.0	1.11	26642294.0
MGI_RiboZero_HCC1395BL_2	79808968.0	33498836.0	37522909.0	7351240.0	3205246.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	2376216.0	2862526.0	33682310.0	1069146.0	1.11	33498836.0
MGI_RiboZero_HCC1395BL_3	62320186.0	25771266.0	29551499.0	5060940.0	2544875.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	1775390.0	2309610.0	27372246.0	16760314.0	1.11	25771266.0
MGI_RiboZero_HCC1395_1	61780258.0	29353658.0	29153835.0	5197254.0	2661458.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	3936104.0	1665598.0	21607878.0	17982608.0	1.12	29353658.0
MGI_RiboZero_HCC1395_2	61978660.0	29329530.0	29330467.0	5015676.0	2736755.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	3833670.0	1698542.0	22081498.0	17253810.0	1.07	29329530.0
MGI_RiboZero_HCC1395_3	63636658.0	30192652.0	30066925.0	5310178.0	2822883.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	3971262.0	1729158.0	22413420.0	16451838.0	1.08	30192652.0
NVG_PolyA_HCC1395BL_1	71226390.0	49116903.0	32765982.0	7868290.0	3075365.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	2197916.0	1765170.0	10259217.0	5041291.0	1.17	49116903.0
NVG_PolyA_HCC1395BL_2	67013188.0	46385451.0	30921339.0	7195233.0	2918896.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	2063485.0	1667282.0	9683177.0	4680245.0	1.18	46385451.0
NVG_PolyA_HCC1395BL_3	73482357.0	48996258.0	33249718.0	9378425.0	3093168.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	2273599.0	1633112.0	11181017.0	6805517.0	1.16	48996258.0
NVG_PolyA_HCC1395_1	69810675.0	50896199.0	32339038.0	7051520.0	3044102.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	2478828.0	1277278.0	8097608.0	5966470.0	1.16	50896199.0
NVG_PolyA_HCC1395_2	67535717.0	49206473.0	31338414.0	6701869.0	2889203.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	2502846.0	1194105.0	7921104.0	5050938.0	1.15	49206473.0
NVG_PolyA_HCC1395_3	67813821.0	49898264.0	31534064.0	6585534.0	2832475.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/NVG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	2586126.0	1195096.0	7539495.0	4360093.0	1.17	49898264.0
SEQ_PolyA_HCC1395BL_1	100910376.0	71587362.0	47446562.0	9118756.0	3550852.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	3609914.0	2424480.0	14129634.0	1151178.0	1.26	71587362.0
SEQ_PolyA_HCC1395BL_2	95222760.0	67699724.0	44869579.0	8338212.0	3398272.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	3388278.0	2314352.0	13443734.0	1137210.0	1.29	67699724.0
SEQ_PolyA_HCC1395BL_3	122613110.0	86424310.0	57947455.0	10176764.0	4512650.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	4143754.0	3183104.0	18634082.0	1299600.0	1.32	86424310.0
SEQ_PolyA_HCC1395BL_4	110368728.0	77853240.0	52018496.0	9583754.0	4157510.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/SEQ_PolyA_HCC1395BL_4.Aligned.sortedByCoord.out.bam	3792032.0	2766642.0	16328400.0	1006568.0	1.3	77853240.0
