Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
MGI_PolyA_HCC1395_1_3	10572411772.0	0.0002	114476408237.0	70777398.0	78241002.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_3.Aligned.sortedByCoord.out.bam	500.0	36.9308	3549.1487	22.1405
MGI_PolyA_HCC1395_2	6042830996.0	0.0002	61111855001.0	40421032.0	45051954.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	463.0	19.7151	3435.4529	25.8293
MGI_PolyA_HCC1395_2_1	10586304645.0	0.0002	113939911192.0	70860116.0	78435746.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_1.Aligned.sortedByCoord.out.bam	492.0	36.7578	3540.071	22.3603
MGI_PolyA_HCC1395_2_2	10254544767.0	0.0002	111105927525.0	68645116.0	76007064.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_2.Aligned.sortedByCoord.out.bam	519.0	35.8435	3659.0683	22.0108
MGI_PolyA_HCC1395_2_3	10604907913.0	0.0002	114942369091.0	70982214.0	78559404.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_3.Aligned.sortedByCoord.out.bam	511.0	37.0812	3624.6544	22.4644
MGI_PolyA_HCC1395_3	6080848147.0	0.0002	62183531455.0	40682784.0	45122534.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	473.0	20.0608	3441.6972	25.2128
MGI_PolyA_HCC1395_3_1	10280920838.0	0.0002	111854518088.0	68819666.0	75702836.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_1.Aligned.sortedByCoord.out.bam	517.0	36.085	3614.2338	21.9703
MGI_PolyA_HCC1395_3_2	8936641450.0	0.0002	97814788593.0	59826590.0	65764738.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_2.Aligned.sortedByCoord.out.bam	570.0	31.5557	3910.2871	23.4058
MGI_PolyA_HCC1395_3_3	10614375935.0	0.0002	115100480865.0	71067262.0	78278420.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_3.Aligned.sortedByCoord.out.bam	529.0	37.1322	3728.5841	23.9253
MGI_RiboZero_HCC1395BL_1	8723743912.0	0.0003	82479608771.0	58400696.0	76287994.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	276.0	26.6085	2305.9309	29.3271
