Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
BMK_RiboZero_HCC1395_2_bamqc				13.423314706689263	2.4940076165182776	25.79928141821629	0	1.4082717925190267	403	8.021273696499874		47.09986096327994
BMK_RiboZero_HCC1395_3	50.0397	0.02	126545544.0								131830966.0	
BMK_RiboZero_HCC1395_3_bamqc				13.737083421815987	2.6635007299319224	24.986045377859316	0	1.4860290775162908	387	8.384476773915857		46.72782070619114
M8_2	200.7087	0.01	178323218.0								181651418.0	
M8_2_bamqc				14.071772206296494	2.877999236582482	25.832799016711125	0	1.5946106799159712	132	9.000552153432874		48.77441265261235
MGI_PolyA_HCC1395BL_0313_1	42.5374	0.04	78951278.0	3.832340172071863	1.2852930646534655	11.331100722403317	0	0.9566670902856776	351	2.452403529050493	79950196.0	47.76644154267594
MGI_PolyA_HCC1395BL_0313_2	42.5876	0.04	78974942.0	3.801184892571739	1.2837424560925612	11.163800269180227	0	0.9558502826677948	363	2.439385030573933	79951178.0	47.736401624094675
MGI_PolyA_HCC1395BL_0313_3	40.0119	0.04	74518490.0	3.71055628222295	1.2454575064961724	11.104365328515426	0	0.9231624283149855	372	2.373317750127544	75427424.0	47.45683802742419
MGI_PolyA_HCC1395BL_1	20.367	0.02	40870806.0								45318596.0	
MGI_PolyA_HCC1395BL_1_1	37.611	0.02	70088892.0								77018220.0	
MGI_PolyA_HCC1395BL_1_1_bamqc				3.540782242993257	1.186445728891674	11.016071131691564	0	0.8774188144248056	426	2.259595605326351		47.791198773641284
MGI_PolyA_HCC1395BL_1_2	37.1826	0.02	69184622.0								76043984.0	
MGI_PolyA_HCC1395BL_1_2_bamqc				3.4592938837735274	1.173059749251746	10.627485722869666	0	0.8691547305256564	412	2.2147864536763695		47.98100095333851
MGI_PolyA_HCC1395BL_1_3	37.682	0.02	70921484.0								78209568.0	
MGI_PolyA_HCC1395BL_1_3_bamqc				3.572664935825978	1.1937821575496124	10.993558321356602	0	0.8815472754412634	410	2.279920207441662		47.7869439735415
MGI_PolyA_HCC1395BL_1_bamqc				2.708617228877435	0.883830039651595	8.954816185318808	0	0.6179025264443861	376	1.7186333304367347		46.556942266485514
MGI_PolyA_HCC1395BL_2	20.6894	0.02	40858650.0								45292506.0	
MGI_PolyA_HCC1395BL_2_1	38.2047	0.02	71252070.0								78146112.0	
MGI_PolyA_HCC1395BL_2_1_bamqc				3.562282649336578	1.1994196753985558	10.923130206369066	0	0.8885387408756139	404	2.2807492741098545		47.89263808910087
MGI_PolyA_HCC1395BL_2_2	38.4002	0.02	71516202.0								78479034.0	
MGI_PolyA_HCC1395BL_2_2_bamqc				3.5300269265071913	1.1941796088649217	10.663383383721504	0	0.8830220069328814	399	2.262464061795565		47.991649110731544
MGI_PolyA_HCC1395BL_2_3	38.4808	0.02	71636514.0								78342790.0	
MGI_PolyA_HCC1395BL_2_3_bamqc				3.5889253401569823	1.2052296909896223	11.045659478737477	0	0.8927210449314589	399	2.2912156641365122		47.89300612893325
MGI_PolyA_HCC1395BL_2_bamqc				2.6742792740922594	0.8808597040221736	8.844719783689392	0	0.6175009780254207	394	1.7044403826798307		46.75382000318108
MGI_PolyA_HCC1395BL_3	20.4639	0.02	40896566.0								45307194.0	
MGI_PolyA_HCC1395BL_3_1	37.6474	0.02	70877222.0								78238794.0	
MGI_PolyA_HCC1395BL_3_1_bamqc				3.6866100985608354	1.205970040846362	11.67802726515894	0	0.8890645250912722	409	2.3259876538239745		47.674179882879564
MGI_PolyA_HCC1395BL_3_2	37.6876	0.02	70888236.0								78051478.0	
MGI_PolyA_HCC1395BL_3_2_bamqc				3.6448804848700096	1.2027011005599193	11.43579146353794	0	0.8872807364892108	410	2.309753574190478		47.66614869757998
MGI_PolyA_HCC1395BL_3_3	36.9015	0.02	69633564.0								76496854.0	
MGI_PolyA_HCC1395BL_3_3_bamqc				3.644203688510929	1.1908242422737945	11.73616632742401	0	0.876602877844708	408	2.2969228650082694		47.74882837145286
MGI_PolyA_HCC1395BL_3_bamqc				2.702976452701962	0.8847581142813691	8.922053679801744	0	0.6189253828894508	387	1.7171959245272446		46.586943274707735
