Compare,Gene,FC_mean,P_mean,Suppoorted_Tools,DEG. Type,uchar,homoge,ubb_1_logFC,uwb_1_logFC,uhom_logFC,long_stability,ulst,kd_stability,uskd,dw4_stability,usw4,dw24_stability,usw25,dwCO2_stability,usco2
HCC1395/HCC1395BL,ENSG00000005206,0.819520497,8.19E-137,2,non-DEG,0.009447693,FALSE,0.011635769,0.003733601,0.01231865,FALSE,0.029010985,FALSE,0.008102369,FALSE,0.002941618,TRUE,5.54E-05,FALSE,0.001657867
HCC1395/HCC1395BL,ENSG00000005238,2.2449233,0,2,up-regulate,0.013218796,FALSE,0.017997657,0.007507004,0.019601396,FALSE,0.042523856,FALSE,0.00565789,FALSE,0.001114057,FALSE,4.43E-05,FALSE,0.003023621
HCC1395/HCC1395BL,ENSG00000005243,2.462866955,0.00950384,3,up-regulate,0.07154254,FALSE,25.31081639,0.12226907,25.36572183,TRUE,0.118236705,FALSE,0.015580465,FALSE,0.013929787,FALSE,0.000206332,FALSE,0.014167319
HCC1395/HCC1395BL,ENSG00000005249,49.25274614,0,2,up-regulate,0.072418765,FALSE,0.375866993,0.091073096,0.387533339,FALSE,0.170514396,FALSE,0.070821552,TRUE,0.002312554,FALSE,0.000897815,FALSE,0.021921427
HCC1395/HCC1395BL,ENSG00000005302,0.106295362,0,2,down-regulate,0.010089409,FALSE,0.002403446,0.003185023,0.005059682,FALSE,0.066245302,FALSE,0.01118323,FALSE,0.001988394,FALSE,0.000272073,FALSE,0.001235145
HCC1395/HCC1395BL,ENSG00000005339,1.90587019,0,4,non-DEG,0.010652536,FALSE,0.010077627,0.002685533,0.0104558,FALSE,0.029186332,FALSE,0.005574896,FALSE,0.003124034,FALSE,0.000151255,FALSE,0.002863014
HCC1395/HCC1395BL,ENSG00000005436,0.244741544,0,3,down-regulate,0.028921091,FALSE,0.011912041,0.00418704,0.012655847,FALSE,0.108828913,FALSE,0.020757446,FALSE,0.004079218,FALSE,0.000396408,FALSE,0.003000139
HCC1395/HCC1395BL,ENSG00000005448,0.176493255,0,2,down-regulate,0.017212114,FALSE,0.014347869,0.004121859,0.014938297,FALSE,0.047218351,FALSE,0.018659187,FALSE,0.002565454,FALSE,7.15E-05,FALSE,0.002486649
HCC1395/HCC1395BL,ENSG00000005469,1.231085467,1.01E-208,2,non-DEG,0.007544144,FALSE,0.015529806,0.004426741,0.016152001,FALSE,0.033795522,FALSE,0.008776126,FALSE,0.000866017,FALSE,0.000361086,FALSE,0.003862795
HCC1395/HCC1395BL,ENSG00000005471,0.06745215,0,2,down-regulate,0.075224423,FALSE,0.002868741,0.008490075,0.010485298,FALSE,0.492992595,FALSE,0.005282338,FALSE,0.012759433,FALSE,0.000149351,FALSE,0.010871615
HCC1395/HCC1395BL,ENSG00000005483,1.707512554,0,3,non-DEG,0.014331353,FALSE,0.009788582,0.00282182,0.01019047,TRUE,0.021562883,FALSE,0.004735062,FALSE,0.000809693,FALSE,9.80E-05,FALSE,0.002359001
HCC1395/HCC1395BL,ENSG00000005700,0.627552079,0,3,non-DEG,0.004462366,FALSE,0.008162356,0.002535109,0.008552775,FALSE,0.024621938,FALSE,0.017577949,FALSE,0.002857376,FALSE,4.54E-05,FALSE,0.001347765
HCC1395/HCC1395BL,ENSG00000005801,0.410732971,0,3,down-regulate,0.011127247,FALSE,0.005670135,0.003398867,0.006670943,FALSE,0.079343428,FALSE,0.016151536,TRUE,0.000464439,FALSE,8.82E-05,TRUE,0.000898294
HCC1395/HCC1395BL,ENSG00000005812,1.038741636,2.15E-06,3,non-DEG,0.005150669,FALSE,0.00932279,0.004582085,0.010537063,FALSE,0.041916107,FALSE,0.033655685,FALSE,0.003484643,FALSE,0.000126169,TRUE,0.001244841
HCC1395/HCC1395BL,ENSG00000005882,1.779449979,1.35E-259,3,non-DEG,0.024484281,FALSE,0.007357775,0.00654706,0.009985266,FALSE,0.106199707,FALSE,0.023186965,FALSE,0.010394641,FALSE,0.000403854,FALSE,0.003362404
HCC1395/HCC1395BL,ENSG00000005884,5.436401876,0,3,up-regulate,0.009463458,FALSE,0.005904153,0.003238247,0.006746272,FALSE,0.106439037,FALSE,0.018969657,FALSE,0.001113559,FALSE,9.36E-06,FALSE,0.000926881
HCC1395/HCC1395BL,ENSG00000005889,1.041419857,4.68E-35,2,non-DEG,0.012467357,FALSE,0.008869234,0.003846382,0.00966929,FALSE,0.046761735,FALSE,0.0106149,FALSE,0.000574394,FALSE,0.000150461,FALSE,0.001689334
HCC1395/HCC1395BL,ENSG00000005893,7.651348729,0,3,up-regulate,0.017703168,FALSE,0.007865151,0.003323853,0.008546458,FALSE,0.125343459,FALSE,0.025102665,TRUE,0.000264173,TRUE,4.21E-05,FALSE,0.000749838
HCC1395/HCC1395BL,ENSG00000006007,3.386969068,0,2,up-regulate,0.00992906,FALSE,0.012946621,0.004235749,0.013755687,FALSE,0.066932186,FALSE,0.003665406,FALSE,0.002986701,FALSE,2.01E-05,FALSE,0.001268907
HCC1395/HCC1395BL,ENSG00000006015,1.476977657,5.84E-264,3,non-DEG,0.020108969,FALSE,0.015931962,0.003641616,0.016349122,FALSE,0.106548962,FALSE,0.017322976,FALSE,0.004199659,FALSE,0.000209135,FALSE,0.003020838
HCC1395/HCC1395BL,ENSG00000006025,0.856735507,1.89E-133,2,non-DEG,0.008809244,FALSE,3405.155909,16.14721188,3405.194653,FALSE,0.075614063,FALSE,0.042226516,FALSE,0.002096158,FALSE,3.78E-05,TRUE,0.001129873
HCC1395/HCC1395BL,ENSG00000006047,32.45610307,0,3,up-regulate,0.071621398,FALSE,0.278953117,0.242003626,0.37333004,FALSE,0.46687613,FALSE,0.070163863,FALSE,0.017889519,FALSE,0.002098975,FALSE,0.04459428
HCC1395/HCC1395BL,ENSG00000006062,0.593046098,1.92E-284,3,non-DEG,0.011578385,FALSE,0.010559447,0.00709104,0.013478253,FALSE,0.060783375,FALSE,0.024522837,FALSE,0.002949481,FALSE,8.74E-05,FALSE,0.004333738
HCC1395/HCC1395BL,ENSG00000006118,10.68623356,0,3,up-regulate,0.030241416,FALSE,0.019069083,0.00568776,0.020039088,FALSE,0.203545139,FALSE,0.006004315,FALSE,0.004200693,FALSE,0.000403326,FALSE,0.002982779
HCC1395/HCC1395BL,ENSG00000006125,0.756332018,0,4,non-DEG,0.007680747,FALSE,0.004326816,0.003093042,0.005424091,TRUE,0.033994835,FALSE,0.004391443,FALSE,0.001135836,TRUE,1.90E-05,FALSE,0.000901051
HCC1395/HCC1395BL,ENSG00000006194,1.493965422,2.04E-301,3,non-DEG,0.012184229,FALSE,0.021264595,0.015402244,0.02706524,FALSE,0.035144231,FALSE,0.001989137,FALSE,0.004343406,FALSE,0.000199704,FALSE,0.002009841
HCC1395/HCC1395BL,ENSG00000006210,160.2332653,0,2,up-regulate,0.066420794,FALSE,0.01007154,0.040375635,0.042152178,FALSE,0.339051027,FALSE,0.001795873,FALSE,0.00710474,FALSE,0.000185162,FALSE,0.008179173
HCC1395/HCC1395BL,ENSG00000006282,1.639262304,0,3,non-DEG,0.005398221,FALSE,0.012927512,0.027164811,0.031523336,FALSE,0.065514027,FALSE,0.019767702,FALSE,0.002393079,FALSE,0.000130287,FALSE,0.001278755
HCC1395/HCC1395BL,ENSG00000006283,12.70005516,0,3,up-regulate,0.051138017,FALSE,0.064804615,0.114902555,0.133739656,FALSE,0.485498101,FALSE,0.025031806,FALSE,0.013419046,FALSE,0.001528632,TRUE,0.016694061
HCC1395/HCC1395BL,ENSG00000006327,88.61094435,0,3,up-regulate,0.030176646,FALSE,0.03757538,0.078662684,0.087931527,FALSE,0.222703641,FALSE,0.009663676,FALSE,0.012039445,FALSE,0.000814024,FALSE,0.009991923
HCC1395/HCC1395BL,ENSG00000006432,0.130611888,0,3,down-regulate,0.009334962,FALSE,0.002894032,0.004074936,0.005620418,FALSE,0.076255503,FALSE,0.018253644,FALSE,0.019873971,FALSE,0.000422297,FALSE,0.004371541
HCC1395/HCC1395BL,ENSG00000006451,0.510356383,0,2,non-DEG,0.006104524,FALSE,0.004717988,0.002573301,0.005376038,FALSE,0.062092847,FALSE,0.011901649,#N/A,#N/A,#N/A,#N/A,FALSE,0.001308858
HCC1395/HCC1395BL,ENSG00000006453,0.653762673,0,2,non-DEG,0.011011202,FALSE,0.01191154,0.009513206,0.015406925,FALSE,0.049647872,FALSE,0.005717431,FALSE,0.000875092,FALSE,0.000101735,FALSE,0.000732017
HCC1395/HCC1395BL,ENSG00000006459,11.99670836,0,3,up-regulate,0.017254915,FALSE,0.034075057,0.020006296,0.039536768,FALSE,0.139938922,FALSE,0.026051019,FALSE,0.007148595,FALSE,0.000964972,TRUE,0.000898479
HCC1395/HCC1395BL,ENSG00000006468,1.500667534,1.71E-176,2,non-DEG,0.021507195,FALSE,0.010276643,0.014040416,0.019461795,FALSE,0.131711535,FALSE,0.018059603,FALSE,0.004536839,FALSE,2.54E-05,FALSE,0.003835509
HCC1395/HCC1395BL,ENSG00000006555,1.338678516,8.84E-57,3,non-DEG,0.022885035,FALSE,0.003831298,0.019449508,0.021181476,FALSE,0.338613927,TRUE,0.007184126,FALSE,0.020484698,FALSE,0.001121812,FALSE,0.016261327
HCC1395/HCC1395BL,ENSG00000006634,0.631793175,4.24E-289,2,non-DEG,0.013889564,FALSE,0.00894755,0.003194174,0.009508752,FALSE,0.087038034,FALSE,0.020223056,FALSE,0.000682126,FALSE,0.000109838,FALSE,0.001283074
HCC1395/HCC1395BL,ENSG00000006652,3.179070273,0,2,up-regulate,0.014639729,FALSE,0.013695187,0.005477202,0.015022057,FALSE,0.093780921,FALSE,0.051927324,TRUE,0.001176929,#N/A,#N/A,FALSE,0.001323517
