"gene_compare","fc_mean","p_mean","freq","N_non","N_down","final","compare","usample","gene","uchar","homoge","ubb_1_logFC","uwb_1_logFC","uhom_logFC","long_stability","ulst","kd_stability","uskd","dw4_stability","usw4","dw24_stability","usw25","dwCO2_stability","usco2","uts","uc","U"
"ENSG00000070495 HCC1395/HCC1395BL",1.576393317,0,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000070495",0.013104907,FALSE,0.003651481,0.00472199,0.006855196,FALSE,0.108911667,"FALSE","0.006027197","FALSE",0.002047759,"FALSE","0.000238753","FALSE",0.002850837,0.10896821461895,0.109967286485203,0.219934572970405
"ENSG00000070614 HCC1395/HCC1395BL",2.35398968,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070614",0.008369405,FALSE,0.00644924,0.002005954,0.00677221,FALSE,0.094721056,"FALSE","0.016211742","FALSE",0.001767387,"FALSE","0.000183529","FALSE",0.001336708,0.0947469730114908,0.0953566917587764,0.190713383517553
"ENSG00000070729 HCC1395/HCC1395BL",2.092496174,7.32e-106,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070729",0.040434448,FALSE,0.097558451,0.069451312,0.120269957,FALSE,0.455884478,"FALSE","0.075492877","FALSE",0.006036116,"FALSE","0.003826027","FALSE",0.019387031,0.456336442713808,0.473648346445482,0.947296692890964
"ENSG00000070731 HCC1395/HCC1395BL",0.026544959,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070731",0.090885711,FALSE,0.006087098,0.029656965,0.031569849,FALSE,0.525814769,"FALSE","0.025450754","FALSE",0.019256625,"FALSE","0.000637224","FALSE",0.015631331,0.526399399138853,0.53511979522683,1.07023959045366
"ENSG00000070759 HCC1395/HCC1395BL",0.373845675,0,3,0,3,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070759",0.027742463,FALSE,0.007394785,0.008038713,0.010950266,FALSE,0.074031301,"FALSE","0.013105296","FALSE",0.002999135,"TRUE","0.000167292","FALSE",0.003281143,0.0741646427746219,0.0799371429103167,0.159874285820633
"ENSG00000070770 HCC1395/HCC1395BL",1.733026982,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000070770",0.018550381,FALSE,0.003740366,0.004415613,0.006162884,FALSE,0.049885326,"FALSE","0.006484806","FALSE",0.00471135,"FALSE","0.000177038","FALSE",0.002551618,0.0501722365792746,0.0538456228286879,0.107691245657376
"ENSG00000070778 HCC1395/HCC1395BL",200.3310246,0,2,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070778",0.071499773,FALSE,0.162732478,0.167824621,0.234448195,FALSE,0.586928052,"FALSE","0.154117215","FALSE",0.021044919,"FALSE","0.005408286","FALSE",0.023616465,0.58777986037234,0.636838549349156,1.27367709869831
"ENSG00000070814 HCC1395/HCC1395BL",0.69039257,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000070814",0.008739822,FALSE,0.004480998,0.002298221,0.005096829,FALSE,0.054343645,"FALSE","0.013259515","FALSE",0.001539999,"FALSE","9.07173E-06","FALSE",0.000934618,0.0543734940905213,0.0553067718643827,0.110613543728765
"ENSG00000070831 HCC1395/HCC1395BL",0.680688577,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000070831",0.037242595,FALSE,0.003293589,0.01194908,0.01363415,FALSE,0.099324706,"FALSE","0.021177208","FALSE",0.000458171,"FALSE","0.000776811","FALSE",0.005322111,0.0994682462303825,0.107083299055943,0.214166598111886
"ENSG00000070882 HCC1395/HCC1395BL",0.134476886,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000070882",0.007931907,FALSE,0.006345218,0.0020828,0.006708835,FALSE,0.069594829,"FALSE","0.02938771","FALSE",0.000586726,"FALSE","0.000293476","FALSE",0.002555916,0.0696442185506979,0.0704147768103489,0.140829553620698
"ENSG00000071051 HCC1395/HCC1395BL",0.389885345,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071051",0.012535838,FALSE,0.01178033,0.01126196,0.01660334,FALSE,0.091176765,"FALSE","0.002667318","FALSE",0.001568789,"FALSE","0.000307508","FALSE",0.004249559,0.0912892234959101,0.0936298054040703,0.187259610808141
"ENSG00000071127 HCC1395/HCC1395BL",0.558530338,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071127",0.009450997,FALSE,0.356289127,0.165933214,0.393035721,FALSE,0.03966483,"FALSE","0.01857564","FALSE",0.000438597,"TRUE","1.26065E-05","FALSE",0.00154109,0.039697179555296,0.395148409323547,0.790296818647094
"ENSG00000071189 HCC1395/HCC1395BL",1.601023904,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071189",0.025941626,FALSE,0.002455975,0.008668496,0.009339978,FALSE,0.168954982,"FALSE","0.026500216","FALSE",0.003147332,"FALSE","0.000101069","FALSE",0.001015783,0.168987347030604,0.171221863688625,0.342443727377249
"ENSG00000071246 HCC1395/HCC1395BL",1.994083263,4.11e-265,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071246",0.016376291,FALSE,0.003575602,0.021512485,0.022335591,FALSE,0.143313314,"TRUE","0.011893585","FALSE",0.004089695,"FALSE","0.000246535","FALSE",0.020057863,0.144767915792769,0.147393388505789,0.294786777011577
"ENSG00000071462 HCC1395/HCC1395BL",0.653453252,0,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071462",0.008768252,FALSE,0.008216786,0.002594016,0.008634537,FALSE,0.03013792,"FALSE","0.015458019","FALSE",0.002387627,"FALSE","7.82641E-05","FALSE",0.000645039,0.0302392304784538,0.0326473357606547,0.0652946715213094
"ENSG00000071537 HCC1395/HCC1395BL",1.659962098,0,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000071537",0.008938282,FALSE,0.004212879,0.002663601,0.004986356,FALSE,0.071162506,"FALSE","0.024435446","FALSE",0.00171301,"FALSE","0.000111908","FALSE",0.00142236,0.0711973298054761,0.0719292458093368,0.143858491618674
"ENSG00000071553 HCC1395/HCC1395BL",3.146417927,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071553",0.011292278,FALSE,0.004670831,0.002365496,0.005332443,FALSE,0.138342349,"FALSE","0.01652222","FALSE",0.000974696,"FALSE","0.000181112","FALSE",0.002314922,0.138365148874261,0.138927552752411,0.277855105504821
"ENSG00000071564 HCC1395/HCC1395BL",0.44688663,0,3,0,3,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000071564",0.011030179,FALSE,0.00586208,0.002192827,0.006305028,FALSE,0.040177667,"FALSE","0.026349318","FALSE",0.002415518,"FALSE","0.00000088","FALSE",0.002704778,0.0403409900324781,0.0422943696448277,0.0845887392896554
